DISCIPLINE,ASSO_NOM,site web,QUARTIERS,COMPLEXE,UNITE FONCTIONNELLE,RUE_LIBELLE,UF_CP,UF_Commune,0-3ans,3-6ans,6-12ans,12-15ans,juniors16-20ans,adultes,séniors,handicapés,geolocalisation,
PATINAGE ARTISTIQUE A ROULETTES,ART ROLL'ICE TOULOUSE,www.artrollicetoulouse.com,,COMPLEXE HORS TOULOUSE,HORS TOULOUSE,,,HORS TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
pétanque,LARDENNE PETANQUE CLUB,,Lardenne,EQUIPEMENTS QUARTIER LARDENNE,BOULODROME LARDENNE,Chemin de Rocamadour,31100.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,43.588947, 1.377681
pétanque,PETANQUE CLUB LEON VIALA,,Jules Julien,ENSEMBLE SOCIAL JULES JULIEN,BOULODROME LEON VIALA,Avenue de Rangueil,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.573506, 1.459086
hockey,TOULOUSE ROLLER HOCKEY CLUB LES HOCKLINES,www.hocklines.free.fr,,ZONE DE LA RAMEE,GYMNASE LA RAMEE,,31170.0,TOURNEFEUILLE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.583911, 1.342531
BOXE FRANCAISE,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,,Sept Deniers,Complexe du TOAC,Gymnase Emile Dewoitine,Chemin de Garric,31200.0,Toulouse,Non,Non,Non,Non,Non,Oui,Non,Non,43.620162, 1.408135
ski alpin,ASSOCIATION PYRENEES CLUB,www.pyrenees-club.asso.fr,,Extérieurs de Toulouse,Les Alpes,,,Dans les Alpes,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
tennis de table,CLUB TOULOUSAIN DU SPORT ADAPTE,,Mirail Université,COSEC MIRAIL,COSEC DU MIRAIL,Rue Ferdinand Laulanie,31100.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Oui,43.616859, 1.421328
tae kwon do,ASPTT section TAEKWONDO,www.toulouse.asptt.com,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.604268, 1.441019
tir sportif,A S MACCABI TOULOUSE,www.maccabitoulouse.com,,COMPLEXE PRIVÉ,Stand de la Forêt,,31660.0,Bessières,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
tir à l'arc,TAC - Toulouse Athlétic Club,,La Fourguette,COMPLEXE SPORTIF DE GIRONIS,GYMNASE GIRONIS,Rue de Gironis,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.601379, 1.393378
VOLLEY BALL,ASSOCIATION SPORTIVE TOULOUSE LARDENNE,lardenneac.site.voila.fr,,PETIT CAPITOLE,GYMNASE LARDENNE,,31100.0,TOULOUSE,Non,Non,Oui,Non,Non,Oui,Oui,Non,43.604268, 1.441019
AIKIDO,CETAM - Centre d'Etudes Toulousain des Arts Martiaux,,,,,,,,Non,Non,Non,Non,Oui,Oui,Non,Non,43.604268, 1.441019
BASKET-BALL,TOULOUSE BASKET CLUB,www.toulouse-basket-club.fr,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,GYMNASE LEO LAGRANGE,Rue des Sept Troubadours,31000.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.606578999999996, 1.451622
BOWLING,ASPTT section BOWLING,www.toulouse.asptt.com,Gramont,COMPLEXE PRIVÉ,Bowling de Gramont,Chemin de Gabardie,31500.0,Toulouse,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.640724, 1.482143
quilles de huit,SPORT QUILLES TOULOUSAIN,,Ginestous,ZONE RECREATIVE DE SESQUIERES,BOULODROME SESQUIERES,Chemin de Fenouillet,31200.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.647997, 1.414089
DANSE AFRICAINE,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,www.ascm-montaudran.com,Montaudran Lespinet,Nouveau Complexe Municipal,Centre d'animation Montaudran,Impasse Gaston Genin,31400.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.573964, 1.48466
danses artistiques,CENTRE DE DANSE JAMES CARLES,www.jamescarles.com,Amidonniers,COMPLEXE PRIVÉ,Centre de danse James Carles,Rue des Amidonniers,31000.0,Toulouse,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,43.606332, 1.422301
équitation,ASSOCIATION CHEVAL GARONNE,chevalgaronne.com,Ginestous,COMPLEXE PRIVÉ,Association Cheval Garonne,Chemin de Ginestous,31200.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.638203, 1.410371
équitation,CENTRE EQUESTRE DE L'ECOLE NATIONALE VETERINAIRE DE TOULOUSE,centre-equestre-veto.envt.fr/spip/,Lardenne,COMPLEXE PRIVÉ,Ecole Nationale Vétérinaire de Toulouse,Chemin des Capelles,31300.0,Toulouse,Non,Non,Non,Oui,Oui,Oui,Non,Oui,,
FOOTBALL,TROPIK 'CLUB TOULOUSE,www.tropikfc.fr,Casselardit,RESERVE FONCIERE CARTOUCHERIE,TERRAIN DE SPORT CARTOUCHERIE,Avenue Raymond Badiou,31300.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Non,Non,43.573375, 1.4882119999999999
football féminin,TFC - Toulouse Football Club,www.tfc.info,Ramier,PARC DES SPORTS,STADIUM,Allée Gabriel Biénès,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.583959, 1.436448
gymnastique forme et loisirs,AVENIR ETIENNE BILLIERES,,Les Pradettes,ENSEMBLE MARCEL CERDAN,COSEC MARCEL CERDAN,Chemin de la Cépière,31100.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.551059, 1.274041
gymnastique rytmique,COQUELICOT TOULOUSE GYM,www.ctgym.fr,Arnaud Bernard,LYCEE ST SERNIN MAISON MUTILE,GYMNASE SAINT SERNIN,Place Saint Sernin,31000.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,43.608901, 1.441787
BASKET-BALL,TOULOUSE INVALIDE CLUB,tlseic.free.fr,Minimes,STADE DES MINIMES,GYMNASE MINIMES ARNAUNE,Avenue Frédéric Estèbe,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,43.580039, 1.5160930000000001
JUDO ADAPTE,TOULOUSE JUDO,www.toulousejudo.com,Saint Simon,Nouveau Complexe Municipal,Centre d'animation Saint Simon,Chemin de Liffard,31100.0,TOULOUSE,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,43.60969, 1.44913
TORBALL,SAKURA CLUB TOULOUSAIN,asct.toulouse.free.fr,Minimes,GR SCOL PIERRE ET MARIE CURIE,GYMNASE PIERRE ET MARIE CURIE,Rue de la Jeunesse,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.621063, 1.442643
JUDO,BALMA SAINT EXUPERY 31,www.bse31.com,Pont des Demoiselles,COMPLEXE PRIVÉ,Balma Saint-Exupéry 31,Avenue Antoine de Saint Exupéry,31400.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Non,43.583177, 1.471575
kendo,TOULOUSE JUDO,www.touloujudo.com,,,,,,,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,43.604268, 1.441019
karaté,FRANCE SHOTOKAN TOULOUSE,fsktoulouse.ifrance.com,Roseraie,COMPLEXE PRIVÉ,Dojo de la Roseraie,Chemin de Nicol,31200.0,Toulouse,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.602587, 1.437577
karaté,SHITODENKAN KARATE CLUB,www.shitodenkan.fr.tc,Saint Michel,COLLEGE EMILE ZOLA,Gymnase Emile Zola,Rue Jean Pierre Blanchard,31400.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Oui,43.76446, 1.7594319999999999
ESCALADE,ASPTT GRAND TOULOUSE OMNISPORT,www.toulouse.asptt.com,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
AQUAGYM,TOULOUSE ACTIVITE PRE ET POSTNATALE,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,43.604268, 1.441019
retraite sportive,OSSSQUART Objectif Santé Seniors Sports Quartier Arènes Romaines,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,43.604268, 1.441019
sambo,Judo Club Pradettes,judopradettes.free.fr/index,Les Pradettes,GROUPE SCOL FERDINAND LESSEPS,GYMNASE DES PRADETTES,Rue Ferdinand de Lesseps,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.578802, 1.383944
ski alpin,TCMS OMNISPORT - TOULOUSE CHEMINOT MARENGO SPORTS,,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
gymnastique artistique,ETOILE GYMNIQUE DE COLOMIERS,etoilegymnique.fr,,,,,,,Non,Non,Non,Non,Non,Non,Non,Oui,43.612602, 1.335509
BALLET SUR GLACE,TOULOUSE CLUB DE PATINAGE,toulouseclubpatinage.com,Juncasse - Argoulets,LES ARGOULETS,PATINOIRE FRATERNITE,Avenue de l' Hers,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.492469, 1.542317
patinage artistique,TOULOUSE SPORTS DE GLACE,www.tsgpatinage.com,Rangueil - CHR - Facultés,ENSEMBLE SPORTIF BELLEVUE,PATINOIRE BELLEVUE,Chemin de la Salade Ponsan,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,,
tae kwon do,TOULOUSE CLUB MODERN SPORT,,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,GYMNASE LEO LAGRANGE,Rue des Sept Troubadours,31000.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Non,Non,43.656548, 1.4751319999999999
taiso,TSUBAKI DOJO TOULOUSE KARATE,www.tsubakidojo.fr,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,GYMNASE LEO LAGRANGE,Rue des Sept Troubadours,31000.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.596669, 1.433897
tennis,STADE TOULOUSAIN section TENNIS,stadetoulousain-tennis.asso.fr,,,,,,,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
tennis,TAC - Toulouse Athlétic Club,tactennisclub.fr.st,La Fourguette,Stade du TAC,Stade de Gironis,Rue de Gironis,31100.0,Toulouse,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.564802, 1.414267
duathlon et triathlon,TOULOUSE TRIATHLON,www.toulouse-tri.com,Ramier,PARC DES SPORTS,PISCINE NAKACHE,Allée Gabriel Biénès,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.627001, 1.467113
VOLLEY BALL,SPACER'S TOAC-TUC VOLLEY-BALL,www.spacerstoulouse.fr,Barrière de Paris,ENSEMBLE SCOLAIRE TLSE LAUTREC,GYMNASE TOULOUSE LAUTREC,Impasse Barthe,31200.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,43.609004, 1.438261
AEROMODELISME,ASSOCIATION SPORTIVE AIR FRANCE,www.acaf-toulouse.com,,COMPLEXE PRIVÉ,Aérodrome de Lasbordes,,31130.0,Balma,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.609568, 1.497847
AEROMODELISME,L'AILE OU LA CUISSE,,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
ATHLETISME hors stade,ASEAT,www.aseat.fr,Juncasse - Argoulets,Complexe ASEAT,Installations CEAT,Rue d' Oran,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.615771, 1.470962
BADMINTON,VOLANT CLUB TOULOUSAIN,vct.volor.org,Casselardit,RESERVE FONCIERE CARTOUCHERIE,GYMNASE PIERRE MONTANE,Avenue Raymond Badiou,31300.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.599211, 1.408358
BOJUTSU,ASSOCIATION ALIZARINE,shintaidotoulouse.wordpress.com,La Fourguette,COMPLEXE SPORTIF DE GIRONIS,GYMNASE GIRONIS,Rue de Gironis,31100.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.619623, 1.4433129999999998
COURSE A PIED,ASEAT,www.aseat.fr,Juncasse - Argoulets,Complexe ASEAT,Installations CEAT,Rue d' Oran,31500.0,TOULOUSE,Non,Non,Non,Non,Non,Non,Non,Non,43.615771, 1.470962
DANSE DE SALON / DANSE PAR COUPLES,VIRE ET VOLTE,www.virevolte.fr,Les Pradettes,COMPLEXE PRIVÉ,Maison Paroissiale,Chemin des Pradettes,31100.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.578886, 1.387705
FOOTBALL,ASSOCIATION SPORTIVE TOULOUSE MIRAIL FOOTBALL,,Bellefontaine,STADE CANTO LAOUZETTO,STADE CANTO LAOUZETTO,Rue de la Tourasse,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.562555, 1.393246
FOOTBALL,ASSOCIATION SPORTIVE TOULOUSE MIRAIL FOOTBALL,,Bellefontaine,STADE CANTO LAOUZETTO,TERRAIN ANNEXE CANTO LAOUZETTO,Rue de la Tourasse,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.562555, 1.393246
FOOT EN SALLE,TOULOUSE LALANDE FUTSAL,,Lalande,COLLEGE LALANDE,GYMNASE LALANDE,Chemin du Séminaire,31200.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Non,Non,43.640025, 1.435298
gymnastique acrobatique,COQUELICOT TOULOUSE GYM,www.ctgym.fr,Sauzelong - Rangueil,ENSEMBLE RANGUEIL,COSEC RANGUEIL,Chemin du Canal,31400.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.594967, 1.444373
Football adapté,ASSOCIATION SPORTIVE FAOURETTE - SPORT ADAPTE,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Oui,43.604268, 1.441019
JUDO ADAPTE,CROIX DE PIERRE JUDO,croixdepierrejudo.free.fr,,,,,,,Non,Oui,Oui,Oui,Non,Oui,Non,Non,,
JUDO ADAPTE,Judo Club Pradettes,judopradettes.free.fr/index,Les Pradettes,GROUPE SCOL FERDINAND LESSEPS,GYMNASE DES PRADETTES,Rue Ferdinand de Lesseps,31100.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.578802, 1.383944
JUDO ADAPTE,TOULOUSE JUDO,www.toulousejudo.com,Juncasse - Argoulets,LES ARGOULETS,MAISON DU JUDO ARGOULETS,Rue Dinetard,31500.0,TOULOUSE,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,43.60969, 1.44913
karaté,CLUB DE KARATE - BOXE FRANCAISE DES PRADETTES,www.ckp.neuf.fr,Les Pradettes,GROUPE SCOL FERDINAND LESSEPS,GYMNASE DES PRADETTES,Rue Ferdinand de Lesseps,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.578802, 1.383944
karaté,TSUBAKI DOJO TOULOUSE KARATE,,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,GYMNASE LEO LAGRANGE,Rue des Sept Troubadours,31000.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.596669, 1.433897
kung-Fu,ROYAL BOXING,www.royalnaresuanboxing.com,Patte d'Oie,COMPLEXE PRIVÉ,Royal Naresuan Boxing,Rue Adolphe Coll,31300.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Non,43.598025, 1.424785
NATATION,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,www.ascm-montaudran.com,Rangueil - CHR - Facultés,ZONE VERTE DE PECH DAVID,PISCINE PECH DAVID,Chemin des côtes de Pech David,31400.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.589766, 1.415235
pétanque,PETANQUE CLUB COURS DILLON,,Saint Cyprien,COURS DILLON,BOULODROME CAZABONNE,Cours Dillon,31300.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,43.593213, 1.435098
rugby à XIII,TOULOUSE JULES JULIEN BRONCOS XIII,ustjj13@free.fr,Empalot,ENSEMBLE ANDRE DASTE,STADE CORBARIEU,Avenue de Lattre de Tassigny,31400.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.579532, 1.43726
tae kwon do,TOULOUSE CLUB TAEKWONDO 31,www.tct31.fr,Faourette,ENSEMBLE LA FAOURETTE,GYMNASE LA FAOURETTE,Rue Paul Lambert,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.578277, 1.4145189999999999
taï chi chuan/Qi Gong,DOJO EXPRESSION,www.dojo-expression.com,Château de L'Hers,COMPLEXE PRIVÉ,Dojo Expression,Avenue Raymond Naves,31500.0,Toulouse,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.597682, 1.474807
tennis,ANCELY TENNIS CLUB,tennis.ancely.free.fr,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
CAPOEIRA,ASSOCIATION CAPOEIRAGEM,www.capoeiragem.fr,Sauzelong - Rangueil,Nouveau Complexe Municipal,Maison de quartier Rangueil,Rue Claude de Forbin,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,,
BASKET-BALL,ASSOCIATION SPORTIVE TOULOUSE LARDENNE,lardenneac.site.voila.fr,,PETIT CAPITOLE,GYMNASE LARDENNE,,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
BOWLING,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,bowling.toac.free.fr,Gramont,COMPLEXE PRIVÉ,Bowling de Gramont,Chemin de Gabardie,31500.0,Toulouse,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.621471, 1.3408769999999999
nage avec palmes,TOULOUSE OLYMPIQUE PALME,,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,PISCINE LEO LAGRANGE,Place Pierre-Paul Riquet,31000.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.852747, 1.2356289999999999
plongée,PALMES AQUADEMIQUES,palmes.aquademiques.free.fr,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,PISCINE LEO LAGRANGE,Place Pierre-Paul Riquet,31000.0,TOULOUSE,Non,Non,Non,Non,Non,Non,Non,Non,43.593607, 1.462219
FOOTBALL,ASSOCIATION SPORTIVE DES IZARDS,,Les Izards,TERRAIN DE SPORT DES VIOLETTES,TERRAIN DE SPORT DES VIOLETTES,Rue des Violettes,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.641739, 1.44387
FOOTBALL,TOULOUSE FONTAINES CLUB,,,ZONE DE LA RAMEE,TERRAIN D'HONNEUR LA RAMEE,,31170.0,TOURNEFEUILLE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.604268, 1.441019
gymnastique acrobatique,COQUELICOT TOULOUSE GYM,www.ctgym.fr,Arnaud Bernard,LYCEE ST SERNIN MAISON MUTILE,GYMNASE SAINT SERNIN,Place Saint Sernin,31000.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.608901, 1.441787
gymnastique forme et loisirs,AVENIR ETIENNE BILLIERES,,,,,,,,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.565192, 1.296042
JUDO,JUDO TOULOUSE CROIX DAURADE,www.jtcd.free.fr,Croix Daurade,GROUPE SCOLAIRE LAPUJADE,GYMNASE LAPUJADE,Route d' Albi,31200.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.635127, 1.463877
karaté,CLUB SHOTOKAN TOULOUSAIN,clubshotokan.perso.neuf.fr,Sauzelong - Rangueil,ENSEMBLE RANGUEIL,COSEC RANGUEIL,Chemin du Canal,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.629916, 1.4538959999999999
karaté,FRANCE SHOTOKAN TOULOUSE,fsktoulouse.ifrance.com,Mirail Université,COSEC MIRAIL,COSEC DU MIRAIL,Rue Ferdinand Laulanie,31100.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,,
ESCALADE,LOISIRS ET MONTAGNE,,,,,,,,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
NATATION,STADE TOULOUSAIN NATATION,www.stadetoulousainnatation.fr,,,,,,,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,43.604268, 1.441019
pétanque,PETANQUE HERACLES,,Compans,BATIMENTS SUR DOMAINE PUBLIC,BOULODROME PL HERACLES,Square de l' Héraclès,31000.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,43.594918, 1.453663
pétanque,REX PETANQUE CLUB,,Marengo Jolimont,TERRAIN 118 RUE DE PERIOLE,BOULODROME 118 RUE DE PERIOLE,Rue de Périole,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.617551, 1.459663
pétanque,TEC - Toulouse Electrogaz Club,,,,,,,,Non,Non,Non,Non,Non,Oui,Oui,Non,,
hockey,Roller Club Toulousain,rct.fr.fm,,ZONE DE LA RAMEE,GYMNASE LA RAMEE,,31170.0,TOURNEFEUILLE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
savate,TOULOUSE MULTI BOXE,tmboxe.free.fr,Faourette,ENSEMBLE LA FAOURETTE,GYMNASE LA FAOURETTE,Rue Paul Lambert,31100.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,43.593607, 1.462219
ski alpin,CLUB ALPIN FRANCAIS DE TOULOUSE,caftoulouse.free.fr,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Non,Non,Non,Oui,Non,Non,43.604268, 1.441019
NATATION,CLUB TOULOUSAIN DU SPORT ADAPTE,,Ramier,PARC DES SPORTS,PISCINE NAKACHE,Allée Gabriel Biénès,31400.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Oui,43.583959, 1.436448
BALLET SUR GLACE,TOULOUSE SPORTS DE GLACE,www.tsgpatinage.com,Rangueil - CHR - Facultés,ENSEMBLE SPORTIF BELLEVUE,PATINOIRE BELLEVUE,Chemin de la Salade Ponsan,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,,
DANSE SUR GLACE,TOULOUSE CLUB DE PATINAGE,toulouseclubpatinage.com,Rangueil - CHR - Facultés,ENSEMBLE SPORTIF BELLEVUE,PATINOIRE BELLEVUE,Chemin de la Salade Ponsan,31400.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Non,Non,Non,,
Qi Gong,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,,Montaudran Lespinet,Nouveau Complexe Municipal,Centre d'animation Montaudran,Impasse Gaston Genin,31400.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.573964, 1.48466
Qi Gong,TAM TAO TOULOUSE,www.tamtao.free.fr - laurent-chateau@club-internet.fr,Pont des Demoiselles,GROUPE SCOLAIRE ANATOLE FRANCE,GYMNASE ANATOLE FRANCE,Boulevard de la Méditerranée,31400.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.584701, 1.461953
taï chi chuan/Qi Gong,LE DOJO,www.ledojo.com,Guilheméry,COMPLEXE PRIVÉ,Le Dojo,Boulevard de la Gare,31500.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.605606, 1.457079
Télémark,CLUB ALPIN FRANCAIS DE TOULOUSE,caftoulouse.free.fr,,,,,,,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
tennis,TOAC section TENNIS,www.club.fft.fr/toactennis,,,,,,,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
tir à l'arc,TOULOUSE SPORT ET NATURE,,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.523585, 1.3405610000000001
DANSE DE SALON / DANSE PAR COUPLES,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,www.ascm-montaudran.com,La Terrasse,SALLE POLYVALENTE CORRAZE,SALLE POLYVALENTE CORRAZE,Rue Raymond Corraze,,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.573856, 1.486604
DANSE DE SALON / DANSE PAR COUPLES,CLUB STUDIO DUO DANSES,www.studioduodanses.com,Croix Daurade,COMPLEXE PRIVÉ,club studio duo danses,Rue d' Avranches,,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.633079, 1.4660229999999999
MODERN JAZZ,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.604268, 1.441019
FOOTBALL,ASVEC Toulouse Mirail,,Reynerie,ENSEMBLE SPORT EDUCAT REYNERIE,COSEC REYNERIE,Cheminement Jean-François Lesueur,31100.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,,
FOOTBALL,JUVENTUS DE PAPUS,,Papus,GROUPE SCOLAIRE JACQUIER,TERRAIN DE SPORT MERLETTES,Allée de Guyenne,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.57593, 1.412878
FOOTBALL,TAC section FOOTBALL,,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.583911, 1.342531
FOOTBALL,TOULOUSE EMPALOT FOOTBALL CLUB,,Empalot,ENSEMBLE ANDRE DASTE,STADE CORBARIEU,Avenue de Lattre de Tassigny,31400.0,TOULOUSE,Non,Non,Oui,Oui,Non,Non,Non,Non,43.579532, 1.43726
football féminin,TFC - Toulouse Football Club,www.tfc.info,,ZONE DE LA RAMEE,TERRAIN 1 LA RAMEE,,31170.0,TOURNEFEUILLE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.604268, 1.441019
gymnastique artistique,AVENIR ETIENNE BILLIERES,shirka2@free.fr,Fontaine Lestang,SALLE CHRISTINE RUMEAU,SALLE CHRISTINE RUMEAU,Rue des Turres,,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.557832, 1.259208
CYCLISME SUR ROUTE,TOULOUSE VELO CLUB,toulouseveloclub.free.fr,,Extérieurs de Toulouse,Région Midi-Pyrénées,,,En région Midi-Pyrénées,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.693241, 1.432396
JUDO ADAPTE,TOULOUSE JUDO,www.toulousejudo.com,Lardenne,ECOLE MIXTE 1 DE LARDENNE,Gymnase de Lardenne,Chemin de Rocamadour,31100.0,Toulouse,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,43.606578999999996, 1.451622
JUDO,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,,Sept Deniers,Complexe du TOAC,Fronton du TOAC,Chemin de Garric,31200.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.620162, 1.408135
